country_text_id,year,v2smgovfilprc_osp,v2smgovfilprc_osp_codelow,v2smgovfilprc_osp_codehigh,v2smgovshut_osp,v2smgovshut_osp_codelow,v2smgovshut_osp_codehigh,v2mecenefi_osp,v2mecenefi_osp_codelow,v2mecenefi_osp_codehigh
AFG,2025,1.485,1.145,1.851,2.621,2.205,3.004,1.21,0.904,1.585
AGO,2025,3.119,2.838,3.343,3.631,3.451,3.875,2.539,2.347,2.76
ALB,2025,3.016,2.796,3.285,3.564,3.385,3.812,2.508,2.311,2.689
ARE,2025,0.251,0,0.424,2.791,2.467,3.099,0.996,0.651,1.321
ARG,2025,3.471,3.277,3.707,3.639,3.487,3.821,2.91,2.843,3
ARM,2025,3.492,3.255,3.745,3.911,3.847,4,2.946,2.893,3
AUS,2025,3.823,3.736,3.994,3.861,3.773,4,2.743,2.61,2.922
AUT,2025,3.707,3.579,3.989,3.966,3.93,4,2.967,2.933,3
AZE,2025,1.36,1.06,1.765,2.784,2.532,3.078,1.666,1.451,1.959
BDI,2025,3.324,3.019,3.806,3.474,3.226,3.866,2.44,2.177,2.921
BEL,2025,3.938,3.885,4,3.967,3.933,4,2.965,2.933,3
BEN,2025,3.64,3.489,3.978,3.848,3.731,4,2.948,2.894,3
BFA,2025,1.517,0.999,2.144,1.945,1.497,2.536,2.144,1.903,2.441
BGD,2025,2.622,2.401,2.867,3.634,3.449,3.858,1.988,1.763,2.197
BGR,2025,3.87,3.784,4,3.964,3.932,4,2.961,2.924,3
BHR,2025,1.018,0.708,1.403,2.531,2.255,2.872,2.108,1.946,2.291
BIH,2025,3.792,3.689,3.989,3.964,3.929,4,2.958,2.915,3
BLR,2025,0.609,0.202,0.888,1.369,0.713,1.833,0.874,0.544,1.208
BOL,2025,3.171,2.992,3.362,3.903,3.847,4,2.81,2.704,3
BRA,2025,3.421,3.134,3.822,3.951,3.903,4,2.943,2.895,3
BRB,2025,3.557,3.355,3.838,3.974,3.942,4,2.944,2.896,3
BTN,2025,1.927,1.609,2.298,2.566,2.294,2.906,1.939,1.743,2.129
BWA,2025,3.764,3.658,3.974,3.962,3.921,4,2.955,2.912,3
CAF,2025,2.873,2.576,3.161,3.715,3.57,3.916,2.225,1.979,2.514
CAN,2025,3.38,3.109,3.664,3.929,3.871,4,2.967,2.933,3
CHE,2025,3.907,3.842,4,3.963,3.925,4,2.977,2.954,3
CHL,2025,3.57,3.366,3.861,3.968,3.935,4,2.911,2.849,3
CHN,2025,0.417,0.044,0.615,2.885,2.513,3.251,0.246,0.028,0.369
CIV,2025,1.767,1.444,2.108,3.965,3.925,4,2.376,2.107,2.858
CMR,2025,2.983,2.667,3.258,2.328,1.978,2.696,1.792,1.514,2.102
COD,2025,2.396,1.837,2.914,3.004,2.721,3.388,2.332,2.001,2.796
COG,2025,1.116,0.544,1.603,2.753,2.295,3.136,0.876,0.455,1.263
COL,2025,2.771,2.247,3.414,3.951,3.898,4,2.9,2.825,3
COM,2025,3.101,2.781,3.601,3.372,3.127,3.721,2.657,2.502,2.92
CPV,2025,3.676,3.523,3.925,3.828,3.741,3.999,2.977,2.95,3
CRI,2025,3.539,3.336,3.791,3.965,3.929,4,2.977,2.952,3
CUB,2025,0.816,0.328,1.165,2.167,1.703,2.719,1.266,1.001,1.598
CYP,2025,3.889,3.797,4,3.972,3.94,4,2.965,2.929,3
CZE,2025,3.415,3.184,3.653,3.855,3.782,4,2.945,2.898,3
DEU,2025,3.028,2.831,3.244,3.967,3.93,4,2.767,2.669,2.952
DJI,2025,2.107,1.796,2.429,3.062,2.804,3.319,0.875,0.525,1.291
DNK,2025,3.886,3.81,4,3.959,3.916,4,2.971,2.94,3
DOM,2025,3.432,3.124,3.728,3.956,3.908,4,2.953,2.905,3
DZA,2025,0.241,0,0.402,2.227,1.951,2.624,1.231,0.941,1.615
ECU,2025,2.528,2.149,2.955,3.819,3.725,4,2.437,2.216,2.68
EGY,2025,1.093,0.59,1.576,3.412,3.083,3.682,1.47,1.278,1.733
ERI,2025,0.494,0.104,0.713,2.108,1.677,2.544,0.617,0.136,0.917
ESP,2025,3.789,3.689,3.999,3.979,3.952,4,2.964,2.926,3
EST,2025,3.869,3.794,4,3.966,3.93,4,2.877,2.801,3
ETH,2025,0.236,0,0.364,1.963,1.662,2.324,1.405,1.069,1.685
FIN,2025,3.884,3.793,4,3.954,3.901,4,2.748,2.635,3
FJI,2025,3.093,2.734,3.552,3.27,2.935,3.703,2.469,2.227,2.837
FRA,2025,3.48,3.245,3.668,3.894,3.828,4,2.789,2.678,2.952
GAB,2025,3.024,2.642,3.404,3.478,3.247,3.764,2.767,2.668,2.999
